,model,topic,word,frequency
201,tfidf,5,joyyhoyyyjoy,0.006209913
202,tfidf,5,amosis,0.005950099
203,tfidf,5,eighty,0.0056210873
204,tfidf,5,instgram,0.005372851
205,tfidf,5,midvhu,0.005258261
206,tfidf,5,pwows,0.0045236633
207,tfidf,5,nonequivalent,0.0042497576
208,tfidf,5,praise,0.0036216113
209,tfidf,5,maab,0.0035167336
210,tfidf,5,kneeneck,0.0034514582
211,tfidf,5,cuein,0.0033193647
212,tfidf,5,electric,0.0033047737
213,tfidf,5,pinup,0.0032532928
214,tfidf,5,pushchair,0.0028130512
215,tfidf,5,maka,0.0022780758
216,tfidf,5,fp,0.0019376461
217,tfidf,5,chirpweight,0.0018332144
218,tfidf,5,pinchers,1.3334938e-05
219,tfidf,5,pimpalation,1.3334938e-05
220,tfidf,5,pimpedout,1.3334938e-05
221,tfidf,5,pincher,1.3334938e-05
222,tfidf,5,pinball,1.3334938e-05
223,tfidf,5,pimpen,1.3334938e-05
224,tfidf,5,pimper,1.3334938e-05
225,tfidf,5,pincha,1.3334938e-05
226,tfidf,5,pilus,1.3334938e-05
227,tfidf,5,pinch,1.3334938e-05
228,tfidf,5,pingas,1.3334938e-05
229,tfidf,5,pinchhittin,1.3334938e-05
230,tfidf,5,pimp,1.3334938e-05
231,tfidf,5,pinche,1.3334938e-05
232,tfidf,5,pincer,1.3334938e-05
233,tfidf,5,pinciottis,1.3334938e-05
234,tfidf,5,piney,1.3334938e-05
235,tfidf,5,pinewood,1.3334938e-05
236,tfidf,5,pineville,1.3334938e-05
237,tfidf,5,pinesol,1.3334938e-05
238,tfidf,5,pinelog,1.3334938e-05
239,tfidf,5,pinecone,1.3334938e-05
240,tfidf,5,pinching,1.3334938e-05
241,tfidf,5,pinecase,1.3334938e-05
242,tfidf,5,pineapple,1.3334938e-05
243,tfidf,5,pineal,1.3334938e-05
244,tfidf,5,pine,1.3334938e-05
245,tfidf,5,pind,1.3334938e-05
246,tfidf,5,pimp3pac,1.3334938e-05
247,tfidf,5,pincushion,1.3334938e-05
248,tfidf,5,pinebox,1.3334938e-05
249,tfidf,5,pimpers,1.3334938e-05
250,tfidf,6,pimprag,1.4390562e-05
251,tfidf,6,pinada,1.4390562e-05
252,tfidf,6,pina,1.4390562e-05
253,tfidf,6,pin,1.4390562e-05
254,tfidf,6,pimpwalk,1.4390562e-05
255,tfidf,6,pimpster,1.4390562e-05
256,tfidf,6,ping,1.4390562e-05
257,tfidf,6,pimppin,1.4390562e-05
258,tfidf,6,pilss,1.4390562e-05
259,tfidf,6,pimin,1.4390562e-05
260,tfidf,6,pillory,1.4390562e-05
261,tfidf,6,pillow,1.4390562e-05
262,tfidf,6,pillowcase,1.4390562e-05
263,tfidf,6,pillowwas,1.4390562e-05
264,tfidf,6,pillpill,1.4390562e-05
265,tfidf,6,pillpoppin,1.4390562e-05
266,tfidf,6,pillsbury,1.4390562e-05
267,tfidf,6,pillsll,1.4390562e-05
268,tfidf,6,pillys,1.4390562e-05
269,tfidf,6,pilot,1.4390562e-05
270,tfidf,6,pils,1.4390562e-05
271,tfidf,6,pilsbury,1.4390562e-05
272,tfidf,6,pinafore,1.4390562e-05
273,tfidf,6,pinata,1.4390562e-05
274,tfidf,6,pinatech,1.4390562e-05
275,tfidf,6,pinball,1.4390562e-05
276,tfidf,6,pimpout,1.4390562e-05
277,tfidf,6,pinewood,1.4390562e-05
278,tfidf,6,pineville,1.4390562e-05
279,tfidf,6,pinesol,1.4390562e-05
280,tfidf,6,pinelog,1.4390562e-05
281,tfidf,6,pinecone,1.4390562e-05
282,tfidf,6,pinecase,1.4390562e-05
283,tfidf,6,pinebox,1.4390562e-05
284,tfidf,6,pineapple,1.4390562e-05
285,tfidf,6,pineal,1.4390562e-05
286,tfidf,6,pilsner,1.4390562e-05
287,tfidf,6,pine,1.4390562e-05
288,tfidf,6,pincushion,1.4390562e-05
289,tfidf,6,pinciottis,1.4390562e-05
290,tfidf,6,pinching,1.4390562e-05
291,tfidf,6,pinchhittin,1.4390562e-05
292,tfidf,6,pinchers,1.4390562e-05
293,tfidf,6,pincher,1.4390562e-05
294,tfidf,6,pinche,1.4390562e-05
295,tfidf,6,pincha,1.4390562e-05
296,tfidf,6,pinch,1.4390562e-05
297,tfidf,6,pincer,1.4390562e-05
298,tfidf,6,pind,1.4390562e-05
299,tfidf,6,pingpong,1.4390562e-05
300,bow,1,nobody,0.21844867
301,bow,1,car,0.11903931
302,bow,1,key,0.085010596
303,bow,1,tv,0.06024927
304,bow,1,pray,0.05678974
305,bow,1,son,0.054818634
306,bow,1,grave,0.042007543
307,bow,1,laugh,0.029098393
308,bow,1,momma,0.027622873
309,bow,1,x2,0.024563376
310,bow,1,welcome,0.024541233
311,bow,1,highway,0.02436122
312,bow,1,crash,0.02291194
313,bow,1,cure,0.020843333
314,bow,1,preacher,0.018583816
315,bow,1,cd,0.018559562
316,bow,1,century,0.015019394
317,bow,1,mary,0.014830212
318,bow,1,bike,0.012513069
319,bow,1,dish,0.011750829
320,bow,1,stereo,0.0101617845
321,bow,1,chemistry,0.008633956
322,bow,1,sue,0.0063868584
323,bow,1,notice,0.0058068363
324,bow,1,judgement,0.0052947644
325,bow,1,crocodile,0.005108523
326,bow,1,condo,0.005032439
327,bow,1,joseph,0.005005243
328,bow,1,surf,0.002417678
329,bow,1,folk,0.0018270294
330,bow,1,saloon,0.0012982314
331,bow,1,whining,0.0011794957
332,bow,1,griffin,0.0011719371
333,bow,1,songwriter,0.0010710306
334,bow,1,yard,0.0010619033
335,bow,1,carl,0.0010278743
336,bow,1,trunk,0.00085142633
337,bow,1,moat,0.0005222392
338,bow,1,door,0.00043970157
339,bow,1,call,5.556904e-07
340,bow,1,dad,4.9652556e-07
341,bow,1,word,4.910596e-07
342,bow,1,othes,4.9105927e-07
343,bow,1,practicesare,4.9105927e-07
344,bow,1,polity,4.9105927e-07
345,bow,1,acceptation,4.9105927e-07
346,bow,1,induces,4.9105927e-07
347,bow,1,presevation,4.9105927e-07
348,bow,1,jobbery,4.9105927e-07
349,bow,1,mainspring,4.9105927e-07
350,bow,2,home,0.54523903
351,bow,2,everyone,0.12454048
352,bow,2,dog,0.122960754
353,bow,2,state,0.06283499
354,bow,2,k,0.019843256
355,bow,2,traffic,0.015197256
356,bow,2,cruise,0.009804563
357,bow,2,vow,0.009700363
358,bow,2,rome,0.008002814
359,bow,2,advantage,0.0077122855
360,bow,2,nickel,0.00693864
361,bow,2,skinny,0.0048614144
362,bow,2,evening,0.004073278
363,bow,2,contest,0.0031670216
364,bow,2,carolina,0.0028592255
365,bow,2,mercury,0.0026878023
366,bow,2,hound,0.002532687
367,bow,2,cannonball,0.0024089762
368,bow,2,li,0.0018130215
369,bow,2,feel,0.0017535824
370,bow,2,cruising,0.0015124828
371,bow,2,portal,0.0013351338
372,bow,2,folk,0.0013260095
373,bow,2,metro,0.0010973669
374,bow,2,diggy,0.00084132823
375,bow,2,bluegrass,0.00040828832
376,bow,2,sundown,0.0003924445
377,bow,2,yodel,0.00027528175
378,bow,2,jimmie,0.00010961257
379,bow,2,wabash,9.439916e-05
380,bow,2,porch,4.844089e-07
381,bow,2,othes,4.843556e-07
382,bow,2,elector,4.843556e-07
383,bow,2,deliberation,4.843556e-07
384,bow,2,mainspring,4.843556e-07
385,bow,2,lookerson,4.843556e-07
386,bow,2,judicature,4.843556e-07
387,bow,2,jobbery,4.843556e-07
388,bow,2,induces,4.843556e-07
389,bow,2,incorrect,4.843556e-07
390,bow,2,impotance,4.843556e-07
391,bow,2,imply,4.843556e-07
392,bow,2,humblest,4.843556e-07
393,bow,2,eligibility,4.843556e-07
394,bow,2,functionary,4.843556e-07
395,bow,2,funcary,4.843556e-07
396,bow,2,excitability,4.843556e-07
397,bow,2,favoritism,4.843556e-07
398,bow,2,exigency,4.843556e-07
399,bow,2,eficacy,4.843556e-07
400,bow,3,place,0.42291227
401,bow,3,bit,0.12985662
402,bow,3,river,0.10070624
403,bow,3,tale,0.03252194
404,bow,3,nature,0.031806048
405,bow,3,sick,0.030689353
406,bow,3,take,0.023569826
407,bow,3,lion,0.02187795
408,bow,3,wolf,0.02130494
409,bow,3,advice,0.02009539
410,bow,3,language,0.019113077
411,bow,3,protection,0.010753429
412,bow,3,david,0.010320035
413,bow,3,le,0.008366391
414,bow,3,infinity,0.0075929607
415,bow,3,vega,0.0072010662
416,bow,3,moan,0.006297741
417,bow,3,permission,0.0050924197
418,bow,3,log,0.0050464845
419,bow,3,fe,0.0049781925
420,bow,3,brink,0.004889107
421,bow,3,moses,0.0042364
422,bow,3,pioneer,0.003951898
423,bow,3,whale,0.0035519165
424,bow,3,pal,0.0030525764
425,bow,3,follow,0.0027869293
426,bow,3,cabin,0.002766829
427,bow,3,bouquet,0.002701
428,bow,3,ark,0.0026609194
429,bow,3,divide,0.0024896676
430,bow,3,whirl,0.002201345
431,bow,3,buffalo,0.001985978
432,bow,3,remark,0.0019666047
433,bow,3,coyote,0.0017278274
434,bow,3,noah,0.0016925854
435,bow,3,rockies,0.0016352313
436,bow,3,moaning,0.00083466736
437,bow,3,mccartney,0.00076948723
438,bow,3,bonfire,0.0005536062
439,bow,3,crossing,0.00042959797
440,bow,3,fishing,0.00032119767
441,bow,3,janie,0.00018422914
442,bow,3,canaan,0.00013978207
443,bow,3,lake,6.9824927e-07
444,bow,3,set,4.656488e-07
445,bow,3,tail,4.6564625e-07
446,bow,3,hand,4.6562934e-07
447,bow,3,funcary,4.6562783e-07
448,bow,3,mainspring,4.6562783e-07
449,bow,3,municpal,4.6562783e-07
450,bow,4,everything,0.37605888
451,bow,4,head,0.31965852
452,bow,4,bed,0.10563406
453,bow,4,think,0.034109347
454,bow,4,chest,0.03111096
455,bow,4,rider,0.012961367
456,bow,4,crush,0.0123592345
457,bow,4,shelter,0.009173042
458,bow,4,carpet,0.009118187
459,bow,4,clover,0.004901429
460,bow,4,speaking,0.0048675477
461,bow,4,sooner,0.0048237876
462,bow,4,thirst,0.004818419
463,bow,4,mamma,0.0044477414
464,bow,4,ruby,0.0038131452
465,bow,4,phone,0.0034548924
466,bow,4,word,0.0034248806
467,bow,4,awhile,0.0032760105
468,bow,4,dress,0.003098851
469,bow,4,tendency,0.0029525994
470,bow,4,robert,0.002706213
471,bow,4,favorite,0.0023036636
472,bow,4,daniel,0.0022797552
473,bow,4,chapel,0.0021669243
474,bow,4,losing,0.0019591653
475,bow,4,paparazzo,0.0018493022
476,bow,4,conductor,0.0012680589
477,bow,4,caffeine,0.0010555746
478,bow,4,bunk,0.0009595177
479,bow,4,crossfire,0.0007828097
480,bow,4,automobile,0.0007814569
481,bow,4,dairy,0.0006756616
482,bow,4,fear,0.00065212254
483,bow,4,southbound,0.0006135032
484,bow,4,lily,0.00054896745
485,bow,4,sighing,0.00029410966
486,bow,4,intercom,0.00028048066
487,bow,4,later,0.00024288146
488,bow,4,motherless,0.000100209414
489,bow,4,backroads,7.6500604e-05
490,bow,4,door,3.5156657e-07
491,bow,4,box,3.5017302e-07
492,bow,4,hand,3.501299e-07
493,bow,4,presevation,3.5012832e-07
494,bow,4,rapidity,3.5012832e-07
495,bow,4,promotes,3.5012832e-07
496,bow,4,predominates,3.5012832e-07
497,bow,4,sacrificenot,3.5012832e-07
498,bow,4,prodution,3.5012832e-07
499,bow,4,mainspring,3.5012832e-07
500,bow,5,round,0.28891686
501,bow,5,stop,0.11693104
502,bow,5,babe,0.09787852
503,bow,5,waste,0.047905017
504,bow,5,attitude,0.038915023
505,bow,5,strike,0.037791826
506,bow,5,bedroom,0.029203327
507,bow,5,nail,0.02800985
508,bow,5,buzz,0.024414651
509,bow,5,coffin,0.02245571
510,bow,5,forest,0.020848954
511,bow,5,warm,0.019816197
512,bow,5,tattoo,0.019713674
513,bow,5,harmony,0.019681739
514,bow,5,closer,0.014550929
515,bow,5,heater,0.014075954
516,bow,5,address,0.012737987
517,bow,5,booze,0.010968469
518,bow,5,criminal,0.010253978
519,bow,5,ben,0.008779794
520,bow,5,hound,0.0072269314
521,bow,5,hanging,0.0070630945
522,bow,5,starlight,0.0065227295
523,bow,5,divorce,0.00597634
524,bow,5,toaster,0.0048628147
525,bow,5,serenity,0.0047870115
526,bow,5,cheating,0.0046731597
527,bow,5,carousel,0.004470014
528,bow,5,borderline,0.003979203
529,bow,5,merrygoround,0.00374735
530,bow,5,rising,0.0027899316
531,bow,5,attorney,0.0023450677
532,bow,5,neighborhood,0.001606762
533,bow,5,rocky,0.0015013317
534,bow,5,huckleberry,0.0010325781
535,bow,5,judicature,7.704804e-07
536,bow,5,humblest,7.704804e-07
537,bow,5,mainspring,7.704804e-07
538,bow,5,lookerson,7.704804e-07
539,bow,5,jobbery,7.704804e-07
540,bow,5,municpal,7.704804e-07
541,bow,5,polity,7.704804e-07
542,bow,5,induces,7.704804e-07
543,bow,5,practicesare,7.704804e-07
544,bow,5,functionary,7.704804e-07
545,bow,5,funcary,7.704804e-07
546,bow,5,favoritism,7.704804e-07
547,bow,5,imply,7.704804e-07
548,bow,5,dgree,7.704804e-07
549,bow,5,impotance,7.704804e-07
550,bow,6,ya,0.25832903
551,bow,6,sun,0.2399002
552,bow,6,moon,0.11111345
553,bow,6,shine,0.06118215
554,bow,6,mi,0.04618089
555,bow,6,keep,0.04371029
556,bow,6,ear,0.03516792
557,bow,6,mood,0.022892337
558,bow,6,got,0.014709025
559,bow,6,evening,0.013567416
560,bow,6,harder,0.013115853
561,bow,6,waist,0.01206407
562,bow,6,sunset,0.010793065
563,bow,6,purple,0.010193391
564,bow,6,doe,0.008616167
565,bow,6,teardrop,0.006492301
566,bow,6,tune,0.006206278
567,bow,6,te,0.006086622
568,bow,6,warmth,0.005996711
569,bow,6,agony,0.0056138095
570,bow,6,silhouette,0.005063169
571,bow,6,bonnie,0.004452777
572,bow,6,par,0.0044236565
573,bow,6,lo,0.0034044005
574,bow,6,finer,0.003293501
575,bow,6,red,0.003054341
576,bow,6,lonesome,0.0028357184
577,bow,6,honest,0.0026023383
578,bow,6,timeless,0.002187766
579,bow,6,alabama,0.0016711254
580,bow,6,forevers,0.0015744538
581,bow,6,moonlit,0.0014382143
582,bow,6,mountainside,0.0012502294
583,bow,6,glisten,0.0009973033
584,bow,6,farther,0.00092813885
585,bow,6,saddest,0.00066609203
586,bow,6,skid,0.000507684
587,bow,6,laurel,0.00040453285
588,bow,6,estar,0.00038168806
589,bow,6,bueno,0.00035480535
590,bow,6,southeast,0.00022707503
591,bow,6,myrtle,0.00021935713
592,bow,6,breeze,3.7699593e-07
593,bow,6,word,3.7620404e-07
594,bow,6,hand,3.758941e-07
595,bow,6,funcary,3.7589407e-07
596,bow,6,favoritism,3.7589407e-07
597,bow,6,exigency,3.7589407e-07
598,bow,6,purpdogg,3.7589407e-07
599,bow,6,eficacy,3.7589407e-07
